campaign_id,campaign_id,discount_ratio,campaign_length,campaign_type
13,13,-1.2777324783949231e-06,-12,0.0
9,9,-0.0118220992572602,31,0.0
8,8,-2.114739949528661e-06,77,0.0
11,11,-7.597416622826552e-06,75,0.0
29,29,-6.198494937671685e-07,112,0.0
30,30,-0.0058324770299521,133,0.0
2,2,0.0,32,0.0
5,5,-0.0035027693438315,-289,0.0
12,12,0.0,32,0.0
26,26,-0.000151137849177,-78,0.0
3,3,-0.0021309486566447,56,0.0
4,4,-2.985445048114225e-06,32,0.0
10,10,-6.376870636016736e-06,62,0.0
7,7,-9.349681268857826e-07,182,0.0
28,28,-9.819250408057268e-07,61,0.0
27,27,-4.371768474718318e-07,63,0.0
6,6,-0.003265945040443,-25,0.0
1,1,-0.0001055908263244,37,0.0
